batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,update_emissions_mg,updated
125,125000,no_update,0.044337935138108533,0.08823529411764708,0.10319062756263646,0.47058823529411764,0.07855229621982474,0.08823529411764706,0.10860517563374882,0.6176470588235294,0.2425628293275352,0.0,False
126,126000,no_update,0.035113018313118464,0.06666666666666668,0.06756076460525548,0.46153846153846156,0.07050450321511419,0.06282051282051282,0.07850889212764055,0.6410256410256411,0.1652774220081912,0.0,False
127,127000,no_update,0.05534508791134864,0.10243902439024388,0.120716922125346,0.4878048780487805,0.09964862602792551,0.09146341463414633,0.12366307319433525,0.5853658536585366,0.24948703058459157,0.0,False
128,128000,no_update,0.03809914398447291,0.06486486486486487,0.09822007215179158,0.4594594594594595,0.06624869355750944,0.058108108108108104,0.09772294277302605,0.5675675675675675,0.30890644640644643,0.0,False
129,129000,no_update,0.044624332784356326,0.08064516129032258,0.07802911238256321,0.3870967741935484,0.09571811118472032,0.09838709677419352,0.10672675032546788,0.6774193548387096,0.15104204181029307,0.0,False
130,130000,no_update,0.08361565263092324,0.11515151515151516,0.1468585084033464,0.48484848484848486,0.11695100241075376,0.08484848484848485,0.14162042105528336,0.5757575757575758,0.2680856180856181,0.0,False
131,131000,no_update,0.04176552724126083,0.06666666666666667,0.07019424594802189,0.3333333333333333,0.08871718567522066,0.07111111111111111,0.08650142136219402,0.5777777777777777,0.13881240038102782,0.0,False
132,132000,no_update,0.08440423730506552,0.11632653061224492,0.12616349418164577,0.5510204081632653,0.13861932065872024,0.09285714285714287,0.13487181041305354,0.7142857142857143,0.2606827779396807,0.0,False
133,133000,no_update,0.09344318209840069,0.10454545454545454,0.14321225521990869,0.5454545454545454,0.17185665054600197,0.09999999999999999,0.1665446024433347,0.7272727272727273,0.30398552998116746,0.0,False
134,134000,no_update,0.04231619878331299,0.10571428571428573,0.11087814342190114,0.5428571428571428,0.09000889445454002,0.10857142857142857,0.12378437451204297,0.6571428571428571,0.24431483720957406,0.0,False
135,135000,no_update,0.07364052409634791,0.1181818181818182,0.12642632308610235,0.5151515151515151,0.12067863883120479,0.10606060606060606,0.1424234094775766,0.6363636363636364,0.23289221671574614,0.0,False
136,136000,no_update,0.05396002880482693,0.12333333333333334,0.14103658981509112,0.5333333333333333,0.08666518503085044,0.11666666666666668,0.14861067634861116,0.6333333333333333,0.2810533277638541,0.0,False
137,137000,no_update,0.06144943040211212,0.12000000000000001,0.13510701699288957,0.5142857142857142,0.10862952075519734,0.10714285714285714,0.13840070616275757,0.7142857142857143,0.26391362605648316,0.0,False
138,138000,no_update,0.04701199054002116,0.08604651162790697,0.08598148800243947,0.37209302325581395,0.09382844688033497,0.07790697674418605,0.09828513339085601,0.5813953488372093,0.15575056828116804,0.0,False
139,139000,no_update,0.03854625703256535,0.0675,0.07190696220270491,0.375,0.06957223611115917,0.0675,0.08031439153741207,0.65,0.16487135005517356,0.0,False
140,140000,no_update,0.039741592558542836,0.0945945945945946,0.09109164208181811,0.40540540540540543,0.08402799631749844,0.08918918918918918,0.09626561031214256,0.6756756756756757,0.1874292611134716,0.0,False
141,141000,no_update,0.08036704504702188,0.12580645161290324,0.13331133043134227,0.6774193548387096,0.11834134324184911,0.10483870967741934,0.1400683853186802,0.8064516129032258,0.2555900192996967,0.0,False
142,142000,no_update,0.03058473491210584,0.06785714285714287,0.0767267983017169,0.32142857142857145,0.05355487689675198,0.07321428571428572,0.08841913839926481,0.5357142857142857,0.159484627184207,0.0,False
143,143000,no_update,0.057310709911056024,0.10571428571428572,0.10579703752187518,0.4857142857142857,0.10783021024176251,0.09428571428571428,0.11630727146046786,0.6,0.2061811997526283,0.0,False
144,144000,no_update,0.023469069466606412,0.06216216216216216,0.06311671079578052,0.35135135135135137,0.05762297371849738,0.06486486486486487,0.07166811688944348,0.5135135135135135,0.161690460219872,0.0,False
145,145000,no_update,0.06630248103957913,0.12250000000000001,0.1365053550067861,0.65,0.11830088064673028,0.09624999999999999,0.13456397905099754,0.725,0.29168884220354807,0.0,False
146,146000,no_update,0.06572074668187881,0.12333333333333335,0.13069056925602468,0.6333333333333333,0.10015427622150946,0.10666666666666666,0.1341712110977102,0.7333333333333333,0.25563732563732566,0.0,False
147,147000,no_update,0.03173939602285736,0.08684210526315789,0.10285680163424034,0.39473684210526316,0.06556226587844717,0.06973684210526314,0.09728722880887722,0.5789473684210527,0.23418057204414547,0.0,False
148,148000,no_update,0.05864703495767243,0.10227272727272728,0.11083878603318689,0.4772727272727273,0.1070206542804502,0.08977272727272727,0.11652565098367205,0.6363636363636364,0.19940549646432001,0.0,False
